avgoutros,stdevcam7e,avgpasseio,stdevcam8e,avgtotal,stdevcam9e,avgcam4e,stdevmoto,avgcam5e,direction,stdevonicam2e,avgcam6e,stdevonicam3e,avgcam7e,stdevoutros,avgcam8e,hour1,stdevpasseio,avgcam9e,stdevtotal,avgmoto,stdevcam4e,year1,avgonicam2e,stdevcam5e,avgonicam3e,stdevcam6e
8.82245952902636,6.14003419476104,219.513391052777,0.381357596935812,318.306111595652,4.13126586807014,10.1056180731349,31.9919844768595,7.65032227871259,D,26.1940060812407,11.7998893828841,17.8696619285589,4.47310089557319,13.5916648793433,0.103575910995767,13,297.427749439598,2.74823969878108,380.732409703729,14.7952732455487,11.629752147934,2015,20.4948414133464,9.15631563756653,17.7994001148716,12.6356281386511
8.92455699972346,5.86063875733653,218.198015273671,0.371769039555705,316.409836414304,4.05327113004361,10.9578165883129,28.5746080710776,7.5834308323938,T,26.5484408415004,11.2452402731392,18.1677593572544,4.27003339785998,14.6750053386226,0.10123593354464,13,289.834219100821,2.54497011210619,372.718054194536,14.2098321597992,13.3453127271765,2015,20.6852623965624,9.11610464589439,17.689442447191,12.1989752905271
9.52115552341041,6.18406813890202,228.15924610181,0.380317753008086,333.117339232913,4.24379419234004,12.8639622200004,24.9454099508692,8.21012997511115,C,30.2864595182006,12.0241230402689,19.4825137741999,4.57978259482227,15.9200356723443,0.109489672190432,14,291.980241525139,2.56652981343998,378.819957003053,13.7618966580867,15.994782753587,2015,22.4979046565551,9.62166565406652,18.8231189772171,13.0044383632257
9.42259992767342,6.86038331937235,231.600204216214,0.399293149252694,337.785828245655,4.51728164401421,10.9252270841754,32.6667761187658,8.44117083962646,D,28.2985649120969,13.2941351656066,18.9706976970363,5.01599693675679,14.3710819843629,0.114297262226382,14,307.505922212762,3.01854963943075,394.920105432376,15.0304622519092,12.5821026127755,2015,21.9446063519752,9.98158183661957,18.9785785700611,14.2529322689402
9.47187772554192,6.53462697907695,229.879725159012,0.389928306714342,335.451583739284,4.38849538907311,11.8945946520879,29.0705724826962,8.3256504073688,T,29.3106761755738,12.6591291029377,19.2284658503574,4.79788976578953,15.1654276202934,0.111893467208407,14,299.848523202443,2.79253972643536,386.960816422895,14.396179454998,14.4225817462807,2015,22.2212555042651,9.80395623869051,18.9008487736391,13.6577443380154
9.97872747771703,6.48748557714362,235.58218638984,0.38509349968046,345.432066200089,4.36445653913047,13.4371716054373,26.0277046750709,8.59960858558999,C,31.3232802357057,12.7237762981557,19.8767587268283,4.77597906783807,16.4753341087561,0.113042183411687,15,302.414366872754,2.61167010572444,389.933394389758,14.3659299283116,16.6580855455474,2015,23.7797655768044,9.96733356344367,19.4642089812589,13.6145682509533
9.77523452955817,7.15946880095242,240.942032376779,0.388522713195162,352.089961496735,4.66569105726081,11.3577825522772,33.6389784223655,8.90703907762343,D,30.1946596276783,14.1828586015444,19.915537484151,5.24901614584441,14.9159309115873,0.112786913144292,15,320.80419682894,3.10938330957902,410.004182119009,15.5959922568019,13.1717815664304,2015,23.047586632347,10.5585302991917,19.8102491012359,15.2334218457877
9.8769810036376,6.83583735412285,238.26210938331,0.386811927650976,348.761013848412,4.52443439229743,12.3974770788572,30.0813796776269,8.75332383160671,T,30.7663241041179,13.45331744985,19.89690984361,5.01249760684124,15.7153163131444,0.112914548277989,15,311.756432145841,2.86052670765173,400.108513531193,14.9809610925567,15.0524013548292,2015,23.4136761045757,10.2683386484283,19.6372290412474,14.4650971371716
10.5092003658874,6.63265026608223,244.093684188134,0.390070984143852,357.731987491757,4.1945414189206,13.5862919866409,28.061803399927,8.76846986747219,C,32.1249927225656,12.9915760811759,20.0549494468228,4.76774660171457,16.7486649901971,0.11385053925844,16,315.220957868708,2.50868982535259,403.305006746892,16.0271862834776,16.8976559054045,2015,24.6415367270097,10.2429443955532,19.7237550256334,13.9733662840148
10.2191495245591,7.2348903635839,251.428577506435,0.397612097448589,366.170116360697,4.72079007475642,11.4417664702504,36.3151061468638,9.05079878321173,D,31.6232946378959,14.5049033163862,20.3096226618564,5.26418345423217,15.8002541652818,0.110702205960561,16,336.959061777767,3.03633346805931,427.662562874603,17.3498904465102,13.2646669310529,2015,23.708013359144,10.9238025560671,20.0557978259482,15.532688756301
